"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Urban population growth (annual %)","SP.URB.GROW","","1.15867889277515","1.29597531557886","1.17224849682195","1.04579714018536","0.957042878606285","0.833746032345883","0.472845831453038","0.103659871180511","-0.0601765196014374","-0.200850333647199","-0.31884036341115","-1.28562566465206","0.400992823309479","0.0576378662823076","-0.1220959961751","0.0949764326338618","0.331708942115102","0.303664448205213","0.6748728755313","1.17431199272958","1.05601770896721","1.13885329408148","1.51238292942866","1.04616728942429","-1.91355314271703","-2.98549113983517","-1.32695152354029","0.261446820508077","1.82767082219355","3.71972368556136","4.85533755052239","4.00059261376928","5.73918741821349","4.33814574793597","1.97209224710019","3.10402457717499","3.02265295928167","1.60149184213826","0.49347668351089","0.156076367200097","0.12279791842057","-0.103896113241903","0.339622967953983","1.32848805721585","1.78234851597787","0.981157087448718","-0.0746108401199707","-0.0656130887708667","-0.151753689896969","-0.607047688172475","0.461873567178305","1.50944561855444","1.56847690957925","1.18380831276056","1.17855765318792","0.952113058122467","0.242460453119476","0.430299647547312","0.582083641152141","-0.221045741194619","-0.432978826866365","0.0592492293772616","0.50431091343252","0.7423285220618",
"Africa Eastern and Southern","AFE","Urban population growth (annual %)","SP.URB.GROW","","4.31105253120507","4.41647248446231","4.54840293052824","4.65485241273414","4.71133438473701","4.75588023156169","4.78821912568028","4.8366257946541","4.86028663600166","4.72272656641648","4.71705030578008","4.75867392085838","4.77995288961142","4.656247063267","4.60278640187109","4.57283593891892","4.52724374337781","4.74873398173411","4.78946125666632","4.6124990338799","4.6085758386687","4.67379047145936","4.84623218690554","4.97767068326768","5.08149256568797","5.17116910621796","5.12552678259297","4.98902183595065","4.83725861024774","4.89461347016144","4.45040417486014","4.2931038380022","4.44082287029824","4.26353618780031","3.95778067699284","3.65251041591714","3.54264928577393","3.61509922853578","3.63374460396941","3.57355200094884","3.61293733160004","3.68027988766281","3.67041742224909","3.68907157784964","3.76046349771138","3.72739666627874","3.51602242874253","4.02189707127068","4.04062538343478","4.05190896373442","4.01894889951315","3.98667455482671","4.08205575017598","4.07709789349174","4.12258013429139","4.00240517465282","3.99809909938238","4.12890064822457","4.08000284903421","4.06373524371858","4.02160397576385","3.9615977063755","3.8724940761312","3.8279741716781",
"Afghanistan","AFG","Urban population growth (annual %)","SP.URB.GROW","","5.27538876806322","5.35167131219685","5.39284841822284","5.44859829078835","5.49713607712057","5.53756334730543","5.5468998953626","5.59999354281487","5.6102176678933","5.656950622237","5.62346605794484","5.62737196030848","5.69927581222324","5.67757027155569","5.55771805734748","5.338342444643","5.22727155035373","5.10149182027524","3.40792719208523","-0.107327813707882","-6.33629099636522","-4.78677238567514","2.76929069000576","5.88594038010959","5.47601529572906","3.30503042854634","3.05569741563241","4.49437065681378","3.42647871285019","1.85571181170975","2.01072857979813","8.57405843722735","12.2231597933636","8.80754359106608","5.31074209896015","4.42076627196332","4.22269487510631","4.17659457207189","4.14286831157573","1.62976951027536","1.17332326843007","5.66617306171591","6.55760458969898","4.23131763874936","4.41739908283101","4.98724222320779","2.78786854958775","3.0781536063166","4.53436841346916","3.81906849382784","4.5764846463086","4.92921725096443","4.29599309060584","4.50670741506421","3.9946261512183","3.40681271655218","3.72340281512711","3.87643265737667","3.995142834675","4.20421701305538","3.45660638746524","2.57685430442875","3.31956817544451","4.06172661982306",
"Africa Western and Central","AFW","Urban population growth (annual %)","SP.URB.GROW","","4.6837084917038","4.7049479816171","4.80009833197501","4.85715100882863","4.92536389699551","4.77314369482656","4.81268168276603","4.86319146530273","4.90645294953271","4.8871931606323","5.20766200882372","5.24442589862018","5.28808063533826","5.3471319892136","5.39374058802476","5.39829276280907","5.19489252409762","5.21589483001117","4.84094653645998","4.82426931665548","5.29030142882102","5.27995007211435","5.07549670774473","5.0356502566628","5.2259832996689","5.1446715979817","5.05810572971068","4.9785805062141","4.9036960876975","4.63986008326164","4.05761797033252","4.11080075802691","4.02117129901233","3.9152462011084","3.95046480142289","3.95034534310759","4.07105362012263","4.12948878154088","4.09174297191407","4.10024377634795","4.51097493105019","4.49803778665758","4.49659605693935","4.50296710076301","4.51136593967601","4.49289788940947","4.45577944331396","4.42604177574876","4.37437179674881","4.35670441327794","4.35643371420754","4.28331216990287","4.18965898601138","4.16605996687995","4.11588488543774","4.05630632893696","3.98112728473812","3.86034291741816","3.74358482442143","3.66663299902601","3.60981555843838","3.55658522600947","3.56260423956966","3.53807614076175",
"Angola","AGO","Urban population growth (annual %)","SP.URB.GROW","","4.7473658029544","4.68063756246983","4.68373682455845","4.6933939890641","4.6841794888619","4.69049894199317","4.68228003426783","4.66141193762453","4.61747417776257","5.0795481669654","6.74972783447667","8.14235337676577","8.47691445988107","8.48362579586015","8.37474606042368","8.24695400795683","8.21766686937229","8.26367671283912","8.2310160357377","8.24660748288929","8.22353153505597","8.19381356794454","8.15894588290697","8.08038932774259","7.96526032344223","7.83002510306502","7.60613609318176","7.45913311834442","7.37663099019844","7.270748570535","7.15222343426205","6.9861491903721","6.80604252797811","6.76586414530672","6.02228820982875","6.01147995245618","5.96230262329532","5.86191343605398","5.75278640946365","5.71683054079135","5.69593562159316","5.69610279835215","5.72516470157241","5.77391199334898","5.7631583893258","5.03995687120039","5.07256937058703","5.0874002703176","5.08358397289154","5.11187634998026","5.12641980313314","5.09874740110286","5.04087675889138","4.90163635849265","4.73841503151621","4.67837622857163","4.61048578809888","4.48889232229204","4.39479592182437","4.24238792701063","4.12708087985754","4.05935834515923","3.96828784846535","3.9038199496298",
"Albania","ALB","Urban population growth (annual %)","SP.URB.GROW","","3.89300966533454","3.28920702183149","3.18226453059251","3.11206814397195","2.98482801343999","2.86494544353281","2.85992943694977","3.07174575108209","3.2198483846198","3.157619134267","3.02918729883486","3.10065873703123","2.96457346625943","2.89871134975155","2.90212612132669","2.80568876125005","2.81002499777185","2.66911436179038","2.58227599369944","2.82702034974263","2.77592616479635","2.88327330682815","2.89083719272096","2.86797195840095","2.81704649291852","2.69139105856439","2.75514115529854","2.63915255793554","3.43737787908247","2.54304254474964","0.141060581773093","0.878430429802018","0.855534960140529","0.843725669639771","0.824171260000091","0.812476342196282","0.788237294994372","0.774515178812666","0.755983737416337","0.742478629285177","0.710442617598151","2.18120890441126","2.06027418181457","1.97179893742068","1.82642935665107","1.66222789724062","1.49221506952818","1.43512421072918","1.47328791317413","1.60937326447224","1.78778378467889","1.84837893643447","1.74363937043308","1.64611599636276","1.48476433256912","1.54401448032371","1.54128496391169","1.31716210445698","1.07141354924368","0.85761092300088","0.443404480033808","0.0937160630163749","0.103888261229259","0.0471709154127424",
"Andorra","AND","Urban population growth (annual %)","SP.URB.GROW","","12.0517595589551","11.4961859005469","10.9488444578324","10.3626307985429","9.8167235228901","10.0276811672429","10.7421120736804","10.6924303724016","10.0926526723565","9.56724511245184","9.07979912518019","8.66929154886959","8.28585416606747","7.88756842839784","7.50480486994459","7.10376596404639","6.65760541964053","6.19796885668521","5.65742385857915","5.09067246460354","4.60079655394098","4.92414996539254","5.19733633586817","4.71831483958663","4.14186523546982","4.4392334364","3.95550210398422","3.47544565072881","2.24260053753465","3.66353316206088","7.25969892612028","5.8303778323185","4.75121379457308","1.86013182983649","-1.33252334671107","-0.140423634302074","0.849552017899605","0.778226902595331","0.218661975014684","-0.330644069583543","-0.113757214829492","0.536326634375216","3.90806068363399","6.23161674611896","3.56642408990142","2.22541067652905","2.28231987455854","1.61564045260818","0.365346276091121","-3.97131519744917","-3.79302874962848","-1.33468538070176","-2.26333970598435","-2.06549618908911","-2.25167681904918","-0.100423670765137","2.05725092579513","1.77886118254311","1.64230431991604","1.09967556581028","1.19816158893275","1.64366739605133","1.39189681969317","1.29771050300546",
"Arab World","ARB","Urban population growth (annual %)","SP.URB.GROW","","4.86285279105508","4.88068184739037","4.93395581632957","4.94979444212606","5.0073263637075","4.89614646412253","4.63739346305095","4.68254136852457","4.70156382958778","4.6647839824257","4.54373131708592","4.55835701306778","4.5611772316244","4.41333702356393","4.48814655850176","4.55977008282576","4.43894938623648","4.5008629886128","4.59897203666972","4.59060746677282","4.412983795409","4.23999950138633","4.29296443114945","4.45592706030227","4.35356435639318","4.31401082393629","4.16218590642111","3.80297925459162","3.64481943820524","4.26021329040269","3.0847213254193","3.63781564827238","3.61723208072582","3.29972373538521","2.93080147957424","2.84952960531088","2.8775855903432","2.90896019916426","2.88277816401235","2.92951298756994","2.97697249829826","2.94110690406755","2.90683431275648","2.8914763479495","3.01931511185236","3.11377741294327","3.00335564235651","3.29306626842538","3.18535497139328","2.48126198533255","2.85847980429004","2.90699407336968","3.2522725443131","2.9714207419288","3.19383667523062","2.88821257557514","2.36924107347466","2.03267912843409","2.21598091230779","2.6035955561368","1.79818038744656","2.9622987541345","2.95242390427938","2.84740403505953",
"United Arab Emirates","ARE","Urban population growth (annual %)","SP.URB.GROW","","6.13738794468572","6.07529891672923","6.0073820348631","5.87711794300887","5.57621394699501","5.03592827205737","4.20579694154804","11.0741513727476","18.3829629347933","17.8642446804634","15.6347451457692","13.9066313712586","12.5276670682797","11.3983488142945","10.4304591986126","12.7474580562252","14.506803941819","13.3109451689993","12.2012549017104","11.0163205553841","7.9266298421539","5.60245555296722","5.46962822301843","5.28901303272853","5.08249203002681","6.06539361133083","6.85099819111473","6.42814432899761","6.04703998169562","5.69520026836375","5.37018878886302","5.06204111254095","4.76670461931266","4.47690489078389","4.28299189440403","6.69853718358692","8.68971343656806","8.17363765681806","7.7000556963661","7.26802739482404","6.89712999372419","6.58489031226815","6.28283675504708","5.97648417555433","5.66408804900629","7.58946813280741","12.042690422783","11.8190945574539","6.64363943731961","2.80914221822691","3.75810339576241","4.34439687871355","4.37247573987369","5.01550896018618","5.73341141444288","5.26954415492494","3.50246510916911","1.64705938819708","1.36262455754539","-0.176860052114908","2.12305709400165","5.36744888416396","4.24639364448934","3.94275453674315",
"Argentina","ARG","Urban population growth (annual %)","SP.URB.GROW","","2.47503880036518","2.39517715809548","2.36570647146703","2.31820306330774","2.25394173783839","2.20880405777698","2.18664117318293","2.1778550752372","2.16596602238659","2.17804873293301","2.13178034489199","2.11389885719524","2.13583244105223","2.1536772064372","2.10583104423807","2.05434205309662","2.06056115824385","2.06744380514618","2.05477519448657","2.04164790802051","2.11464631680151","2.138111915751","2.11990558862775","2.09823776087833","2.06420545232535","2.03285673926369","2.00984473477246","2.00319252429655","1.97104654269675","1.91900296581223","1.83257439525112","1.62913368750272","1.59323841381344","1.57689051205178","1.54196414274921","1.48630893669086","1.43846759862136","1.3954627555021","1.37025067665949","1.34649834969086","1.3075037312868","1.27182887426113","1.22957514056398","1.20789714726708","1.21757237892238","1.21578638362705","1.1749673731084","1.19420812925512","1.23745944754417","1.23043013340485","1.21982256470313","1.17152900249421","1.13333150331615","1.17192081869787","1.18505436466263","1.10433531557669","1.01430816498057","0.9547647881172","0.842521815308169","0.615028911928924","0.393904283014769","0.338668250794531","0.412511398836538","0.471206008710255",
